The release p{{c1::eriod}} is being adjusted.	"リリースの<font color=""#0000ff"">時期</font>は、調整中です。"	period	ˈpɪriəd	時期	Noun	[sound:engineer-vocabulary-list_073.mp3]	season
The schedule hasn't been d{{c1::ecided}} yet.	"スケジュールは未<font color=""#0000ff"">確定で</font>す。"	decided	ˌdɪˈsaɪdɪd	決まっている	Adjective	[sound:engineer-vocabulary-list_074.mp3]
The l{{c1::ack}} of communication among team members is becoming a problem.	"チーム内のコミュニケーション<font color=""#0000ff"">不足</font>が、問題になっています。"	lack	læk	不足	Noun	[sound:engineer-vocabulary-list_075.mp3]	shortage
We don't have time to s{{c1::pare}} since we have a lot of releases this month.	"今月は、リリースが多くて、みんな<font color=""#0000ff"">余裕</font>があんまりない。"	(time / money / space) to spare	(taɪm / ˈmʌni / speɪs) tu spɛr	余裕	Noun	[sound:engineer-vocabulary-list_076.mp3]	have room in someone's mind
Since the system isn't working n{{c1::ormally}}, Suzuki-san is going to check on it today.	"システムが<font color=""#0000ff"">正常に</font>動いてないので、今日中に鈴木さんが確認する予定になっています。"	normally	ˈnɔrməli	正常に	Adjective	[sound:engineer-vocabulary-list_077.mp3]
I think it's better to make this the t{{c1::op}} p{{c1::riority}} because the release is next week.	"これはリリースが来週なので、<font color=""#0000ff"">最優先</font>で進めたほうがいいと思います。"	top priority	tɑp praɪˈɔrəti	最優先	Noun	[sound:engineer-vocabulary-list_078.mp3]
Please talk to your manager d{{c1::irectly}} if you have any problems.	"困ったことがあったら、<font color=""#0000ff"">直接</font>マネージャーに相談してください。"	directly	dəˈrɛktli	直接	Adjective	[sound:engineer-vocabulary-list_079.mp3]
Are you i{{c1::n}} the m{{c1::iddle}} of working on this ticket?	"今、このチケットをやってる<font color=""#0000ff"">途中</font>ですか。"	in the middle of	ɪn ðə ˈmɪdəl ʌv	途中	Preposition	[sound:engineer-vocabulary-list_080.mp3]	halfway
I completed the refund p{{c1::rocess}} yesterday.	"返金<font color=""#0000ff"">処理</font>は、昨日、完了しました。"	process	ˈprɑˌsɛs	処理	Noun	[sound:engineer-vocabulary-list_081.mp3]
"What time is access to the site most c{{c1::oncentrated}}? "	"サイトへのアクセスは、どの時間帯が一番<font color=""#0000ff"">集中し</font>ますか。"	concentrated	ˈkɑnsənˌtreɪtəd	集中する	Verb	[sound:engineer-vocabulary-list_082.mp3]
"A system d{{c1::elay}} happened last night. "	"昨日の夜、システムに<font color=""#0000ff"">遅延</font>が発生しました。"	delay	dɪˈleɪ	遅延	Noun	[sound:engineer-vocabulary-list_083.mp3]
I'll w{{c1::ork}} on updating this tomorrow.	"明日、バージョンアップする<font color=""#0000ff"">作業をし</font>ます。"	"work "	"wɜrk "	作業をする	Verb	[sound:engineer-vocabulary-list_084.mp3]
Do you know which team is r{{c1::esponsible}} {{c1::for}} this work?	"この業務は、どこのチームが<font color=""#0000ff"">担当し</font>てるか知ってる？"	be responsible for	bi riˈspɑnsəbəl fɔr	担当する	Verb	[sound:engineer-vocabulary-list_085.mp3]	be in charge of
Please a{{c1::dd}} the topics you want to talk about to the notes.	"話したいトピックがある人は、議事録に<font color=""#0000ff"">追加し</font>ておいてくださいね。"	add	æd	追加する	Verb	[sound:engineer-vocabulary-list_086.mp3]
If you want to s{{c1::uggest}} anything, please DM me by tomorrow.	"何か<font color=""#0000ff"">提案</font>がある人は、明日までに私にDMしてください。"	suggest	səgˈʤɛst	提案する	Verb	[sound:engineer-vocabulary-list_087.mp3]	propose
The timing of i{{c1::mplementing}} the new service hasn't been decided yet.	"新しいサービスを<font color=""#0000ff"">導入する</font>時期はまだ決まってません。"	implement	ˈɪmpləmənt	導入する	Verb	[sound:engineer-vocabulary-list_088.mp3]
The service {{c1::went}} d{{c1::own}} temporarily late last night because of a spike in access.	"夜中にアクセスが集中して、サービスが一時的に<font color=""#0000ff"">落ち</font>ました。"	go down	goʊ daʊn	落ちる	Verb	[sound:engineer-vocabulary-list_089.mp3]	drop
Tickets that we won't deal with this sprint will be m{{c1::oved}} to the next sprint.	"今回のSprintで対応しないチケットは、次のSprintに<font color=""#0000ff"">移動し</font>ておきます。"	move	muv	移動する	Verb	[sound:engineer-vocabulary-list_090.mp3]	shift
Sorry, I can't join tomorrow's stand up because of a s{{c1::chedule}} {{c1::conflict}}.	"すみません、他のミーティングと<font color=""#0000ff"">被っ</font>てるので、明日のスタンドアップミーティングに参加できません。"	schedule conflict	ˈskɛʤʊl ˈkɑnflɪkt	スケジュールが被ること	Noun	[sound:engineer-vocabulary-list_091.mp3]
[Situation: In a meeting] Sorry, I need to l{{c1::eave}} now because I have another meeting.	"【状況：ミーティングに出席中】すみません、次のミーティングがあるので、先に<font color=""#0000ff"">抜け</font>ますね。"	leave the meeting	liv ðə ˈmitɪŋ	ミーティングを抜ける	Verb	[sound:engineer-vocabulary-list_092.mp3]
Please take it easy now since we're going to be q{{c1::uite}} busy next month.	"来月は<font color=""#0000ff"">けっこう</font>忙しくなると思うので、みなさん、今のうちにゆっくり休んでくださいね。"	quite	kwaɪt	けっこう	Adverb	[sound:engineer-vocabulary-list_093.mp3]
It'll be really tight, but I think I'll just b{{c1::arely}} get the ticket done by the deadline.	"このチケットは、<font color=""#0000ff"">ギリギリ</font>になりそうですが、締切までに終わると思います。"	barely	ˈbɛrli	ギリギリ	Adverb	[sound:engineer-vocabulary-list_094.mp3]	at the last moment
B{{c1::asically}}, everyone's assignments won't change much from this quarter to next quarter.	"<font color=""#0000ff"">基本的に</font>、次の四半期のみなさんのアサインは、今四半期と変更ありません。"	basically	ˈbeɪsɪkli	基本的に	Adverb	[sound:engineer-vocabulary-list_095.mp3]
A{{c1::lso}}, do you know approximately when the release period will be decided?	"<font color=""#0000ff"">ちなみに</font>、いつぐらいまでにリリースの時期が決まるか、わかりますか。"	also	ˈɔlsoʊ	ちなみに	Adverb	[sound:engineer-vocabulary-list_096.mp3]	in addition
Think about it from the customer's p{{c1::oint}} {{c1::of}} {{c1::view}}.	"お客様<font color=""#0000ff"">視点</font>で考えてみて。"	point of view	pɔɪnt ʌv vju	視点	Noun	[sound:engineer-vocabulary-list_097.mp3]
