JAPANESE WORD,JAPANESE WORD WITH KANA,ENGLISH WORD,PART OF SPEECH,SYNONYM,PHONETICS,SENTENCE ID,JAPANESE SENTENCE,JAPANESE HIGHLIGHT,JAPANESE SENTENCE WITH KANA,ENGLISH SENTENCE,ENGLISH SENTENCE WITH CLOZE,ENGLISH AUDIO FILE
時期,時期(じき),period,Noun,season,ˈpɪriəd,073,リリースの時期は、調整中です。,時期,リリースの時期(じき)は、調整中(ちょうせいちゅう)です。,The release period is being adjusted.,The release p{{eriod}} is being adjusted.,
決まっている,決(き)まっている,decided,Adjective,,ˌdɪˈsaɪdɪd,074,スケジュールは未確定です。,確定で,スケジュールは未確定(みかくてい)です。,The schedule hasn't been decided yet.,The schedule hasn't been d{{ecided}} yet.,
不足,"不足(ふそく) ※コミュニーケーション不足(ぶそく)",lack,Noun,shortage,læk,075,チーム内のコミュニケーション不足が、問題になっています。,不足,チーム内(ない)のコミュニケーション不足(ぶそく)が、問題(もんだい)になっています。,The lack of communication among team members is becoming a problem.,The l{{ack}} of communication among team members is becoming a problem.,
余裕,余裕(よゆう),(time / money / space) to spare,Noun,have room in someone's mind,(taɪm / ˈmʌni / speɪs) tu spɛr,076,今月は、リリースが多くて、みんな余裕があんまりない。,余裕,今月(こんげつ)は、リリースが多(おお)くて、みんな余裕(よゆう)があんまりない。,We don't have time to spare since we have a lot of releases this month.,We don't have time to s{{pare}} since we have a lot of releases this month.,
正常に,正常(せいじょう)に,normally,Adjective,,ˈnɔrməli,077,システムが正常に動いてないので、今日中に鈴木さんが確認する予定になっています。,正常に,システムが正常(せいじょう)に動(うご)いてないので、今日中(きょうじゅう)に鈴木(すずき)さんが確認(かくにん)する予定(よてい)になっています。,"Since the system isn't working normally, Suzuki-san is going to check on it today.","Since the system isn't working n{{ormally}}, Suzuki-san is going to check on it today.",
最優先,最優先(さいゆうせん),top priority,Noun,,tɑp praɪˈɔrəti,078,これはリリースが来週なので、最優先で進めたほうがいいと思います。,最優先,これはリリースが来週(らいしゅう)なので、最優先(さいゆうせん)で進(すす)めたほうがいいと思います。,I think it's better to make this the top priority because the release is next week.,I think it's better to make this the t{{op}} p{{riority}} because the release is next week.,
直接,直接(ちょくせつ),directly,Adjective,,dəˈrɛktli,079,困ったことがあったら、直接マネージャーに相談してください。,直接,困(こま)ったことがあったら、直接(ちょくせつ)マネージャーに相談(そうだん)してください。,Please talk to your manager directly if you have any problems.,Please talk to your manager d{{irectly}} if you have any problems.,
途中,途中(とちゅう),in the middle of,Preposition,halfway,ɪn ðə ˈmɪdəl ʌv,080,今、このチケットをやってる途中ですか。,途中,今(いま)、このチケットをやってる途中(とちゅう)ですか。,Are you in the middle of working on this ticket?,Are you i{{n}} the m{{iddle}} of working on this ticket?,
処理,処理(しょり),process,Noun,,ˈprɑˌsɛs,081,返金処理は、昨日、完了しました。,処理,返金(へんきん)処理(しょり)は、昨日(きのう)、完了(かんりょう)しました。,I completed the refund process yesterday.,I completed the refund p{{rocess}} yesterday.,
集中する,集中(しゅうちゅう)する,concentrated,Verb,,ˈkɑnsənˌtreɪtəd,082,サイトへのアクセスは、どの時間帯が一番集中しますか。,集中し,サイトへのアクセスは、どの時間帯(じかんたい)が一番(いちばん)集中(しゅうちゅう)しますか。,"What time is access to the site most concentrated? ","What time is access to the site most c{{oncentrated}}? ",
